Package                                     Current    Wanted   Latest  Location                                                                     Depended by                                                        Package Type     Homepage                                                                                                               Depended By Location
@typescript-eslint/parser                    6.21.0    6.21.0   8.44.1  services/notification-service/node_modules/@typescript-eslint/parser         notification-service@npm:@athlete-ally/notification-service@1.0.0  devDependencies  https://typescript-eslint.io/packages/parser                                                                           services/notification-service
@typescript-eslint/parser                    6.21.0    6.21.0   8.44.1  services/protocol-engine/node_modules/@typescript-eslint/parser              protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            devDependencies  https://typescript-eslint.io/packages/parser                                                                           services/protocol-engine
ajv-formats                                   2.1.1     2.1.1    3.0.1  node_modules/ajv-formats                                                     event-bus@npm:@athlete-ally/event-bus@0.1.0                        dependencies     https://github.com/ajv-validator/ajv-formats#readme                                                                    packages/event-bus
async-mutex                                   0.4.1     0.4.1    0.5.0  node_modules/async-mutex                                                     planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/DirtyHairy/async-mutex#readme                                                                       services/planning-engine
bcryptjs                                      2.4.3     2.4.3    3.0.2  node_modules/bcryptjs                                                        protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            dependencies     https://github.com/dcodeIO/bcrypt.js#readme                                                                            services/protocol-engine
dotenv                                       16.6.1    16.6.1   17.2.2  node_modules/dotenv                                                          gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/motdotla/dotenv#readme                                                                              apps/gateway-bff
dotenv                                       16.6.1    16.6.1   17.2.2  node_modules/dotenv                                                          planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/motdotla/dotenv#readme                                                                              services/planning-engine
dotenv                                       16.6.1    16.6.1   17.2.2  node_modules/dotenv                                                          profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://github.com/motdotla/dotenv#readme                                                                              services/profile-onboarding
eslint                                       8.57.1    8.57.1   9.36.0  node_modules/eslint                                                          adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            devDependencies  https://eslint.org                                                                                                     services/adaptive-engine
eslint                                       8.57.1    8.57.1   9.36.0  node_modules/eslint                                                          analytics@npm:@athlete-ally/analytics@1.0.0                        devDependencies  https://eslint.org                                                                                                     services/analytics
eslint                                       8.57.1    8.57.1   9.36.0  node_modules/eslint                                                          contracts@npm:@athlete-ally/contracts@0.1.0                        devDependencies  https://eslint.org                                                                                                     packages/contracts
eslint                                       8.57.1    8.57.1   9.36.0  node_modules/eslint                                                          job-scheduler@npm:@athlete-ally/job-scheduler@1.0.0                devDependencies  https://eslint.org                                                                                                     services/job-scheduler
eslint                                       8.57.1    8.57.1   9.36.0  node_modules/eslint                                                          notification-service@npm:@athlete-ally/notification-service@1.0.0  devDependencies  https://eslint.org                                                                                                     services/notification-service
eslint                                       8.57.1    8.57.1   9.36.0  node_modules/eslint                                                          protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            devDependencies  https://eslint.org                                                                                                     services/protocol-engine
express                                      4.21.2    4.21.2    5.1.0  services/protocol-engine/node_modules/express                                protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            dependencies     https://expressjs.com/                                                                                                 services/protocol-engine
express-rate-limit                            7.5.1     7.5.1    8.1.0  node_modules/express-rate-limit                                              protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            dependencies     https://github.com/express-rate-limit/express-rate-limit                                                               services/protocol-engine
fastify                                      4.29.1    4.29.1    5.6.1  node_modules/fastify                                                         adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            dependencies     https://fastify.dev/                                                                                                   services/adaptive-engine
fastify                                      4.29.1    4.29.1    5.6.1  node_modules/fastify                                                         exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://fastify.dev/                                                                                                   services/exercises
fastify                                      4.29.1    4.29.1    5.6.1  node_modules/fastify                                                         fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://fastify.dev/                                                                                                   services/fatigue
fastify                                      4.29.1    4.29.1    5.6.1  node_modules/fastify                                                         gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://fastify.dev/                                                                                                   apps/gateway-bff
fastify                                      4.29.1    4.29.1    5.6.1  node_modules/fastify                                                         planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://fastify.dev/                                                                                                   services/planning-engine
fastify                                      4.29.1    4.29.1    5.6.1  node_modules/fastify                                                         profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://fastify.dev/                                                                                                   services/profile-onboarding
